canal_itc,dispositivo_itc,transaccion_itc,respuesta_itc,descripcion_trx_banco,descripcion_respuesta_banco
MOV,APP,447,0,Inscripción de Factura,Transacción Exitosa
APP,APP,1538,34,Transferencias Cuenta Nequi,Valor Por Encima De Tope Diario De Transferencia
MOV,MOV,558,604,Transferencia Comunidad Banca Móvil,Tu Envio Supera El Tope Maximo Permitido
APP,APP,539,0,Transferencia De Fondos Desde Cuenta De Ahorros A Inversion Fiduciaria,Transacción Exitosa
APP,APP,529,37,Pago De Tarjeta De Credito Desde Cuenta De Ahorros,Abono Supera El Total De La Deuda
SVP,BLP,538,690,Transferencia De Fondos Desde Cuenta De Ahorros,Transaccion No Permitida
APP,APP,531,706,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Supera Numero De Operaciones Personalizadas
SVP,PSE,522,5,Compra Pse Desde Cuenta De Ahorros,Respuesta No Conocida
SVP,BLP,640,940,Avance Sucursal Virtual,Transacción Declinada
APP,APP,638,640,Transferencia A Otros Bancos,Fecha De Aplicacion No Valida
SVP,BLP,638,0,Transferencia A Otros Bancos,Transacción Exitosa
SVP,PSE,422,5,Compra Pse Desde Cuenta Corriente,Respuesta No Conocida
SVP,BLP,429,926,Pago De Tarjeta De Credito Desde Cuenta Corriente,El Abono Supera El Total De La Deuda - Tc3 - Medios De Pago
SVP,BLP,213,0,Transferencia entre bolsillos,Transacción Exitosa
APP,APP,549,410,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Fid: Monto De Retiro Superior Al Tope Mßxim
MOV,ALM,558,28,Envio de Dinero,Consulta No Efectuada
MOV,ALM,558,30,Envio de Dinero,Fondos Insuficientes
SVP,BLP,1538,0,Transferencias Cuenta Nequi,Transacción Exitosa
SVP,BLP,531,0,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Transacción Exitosa
MOV,MOV,558,991,Transferencia Comunidad Banca Móvil,Clave Bloqueada
SVP,PSE,1422,0,Pago PSE con tarjeta de crédito,Transacción Exitosa
SVP,BLP,513,382,Grabar Constitución- Fid Desde Cuenta Deposito,Error Al Procesar La Transaccion
APP,APP,538,923,Transferencia De Fondos Desde Cuenta De Ahorros,Transacción no exitosa
APP,APP,2021,500,Transferencia de QR,El sistema no está disponible. Estamos trabajando para solucionarlo lo más pronto posible.
APP,APP,1638,382,Transferencia a Nequi sin inscripción ,"Lo sentimos, tenemos inconvenientes con nuestros sistemas, nuestro equipo se encuentra trabajando para brindarte una solución."
MOV,ALM,558,116,Envio de Dinero,La Vigencia Del Pin Ha Expirado
SVP,SVP,325,0,Simular Inversion Virtual,Transacción Exitosa
APP,APP,1538,999,Transferencias Cuenta Nequi,Respuesta No Conocida
APP,APP,531,107,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,En este momento no es posible realizar esta transacción. Por favor intente más tarde
SVP,PSE,522,30,Compra Pse Desde Cuenta De Ahorros,Disponible Insuficiente En Cuenta A Debitar
SVP,BLP,531,705,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Supera Valor Maximo Personalizado
APP,APP,1638,124,Transferencia a Nequi sin inscripción ,Transacción supera el Tope Máximo por Día
SVP,BLP,203,0,Apertura de bolsillos,Transacción Exitosa
